month,categories,title,link,event_date,description
3,"ENTERTAINMENT,, MUSIC,, NIGHTLIFE",Ashley Cooke,https://downtownpittsburgh.com/events/event/?id=62448,"Mar 1, 2025 | 7:00 pm - 11:00 pm","ENTERTAINMENT, MUSIC, NIGHTLIFE


Watch country music singer  perform live on her Your Place Tour!"
3,"CONVENTION,, FAMILY",Jurassic Quest 2025,https://downtownpittsburgh.com/events/event/?id=62164,"Feb 28, 2025 - Mar 2, 2025","CONVENTION, FAMILY


The whole family will have fun at Jurassic Quest, the greatest dinosaur adventure featuring dozens of life-size animatronic dinosaurs! Get the chance to see how life on Earth once was! Please visit the website for more information and tickets!"
3,"CONVENTION,, WORKSHOPS & CLASSES",SIGCSE Technical Symposium 2025,https://downtownpittsburgh.com/events/event/?id=62231,"Feb 26, 2025 - Mar 1, 2025","CONVENTION, WORKSHOPS & CLASSES


The SIGCSE Technical Symposium addresses problems common among educators working to develop, implement and/or evaluate computing programs, curricula, and courses. The symposium provides a forum for sharing new ideas for syllabi, laboratories, and other elements of teaching and pedagogy, at all levels of instruction."
3,"ARTS + CULTURE,, ENTERTAINMENT,, FILM & MOVIES",Oscar Nominated Shorts: Documentary,https://downtownpittsburgh.com/events/event/?id=62403,"Feb 15, 2025 - Mar 5, 2025","ARTS + CULTURE, ENTERTAINMENT, FILM & MOVIES


Catch this year's most spectacular DOCUMENTARY short films and cast your prediction of the victor for a chance to win fabulous prizes!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, FILM & MOVIES",Oscar Nominated Shorts: Live Action,https://downtownpittsburgh.com/events/event/?id=62404,"Feb 15, 2025 - Mar 6, 2025","ARTS + CULTURE, ENTERTAINMENT, FILM & MOVIES


Catch this year's most spectacular LIVE ACTION short films and cast your prediction of the victor for a chance to win fabulous prizes!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, FILM & MOVIES",Oscar Nominated Shorts: Animation,https://downtownpittsburgh.com/events/event/?id=62405,"Feb 14, 2025 - Mar 6, 2025","ARTS + CULTURE, ENTERTAINMENT, FILM & MOVIES


Catch this year's most spectacular ANIMATION short films and cast your prediction of the victor for a chance to win fabulous prizes!"
3,"COMMUNITY,, FESTIVAL,, MARKET SQUARE",Pittsburgh Winter Wine Fest,https://downtownpittsburgh.com/events/event/?id=62118,"Feb 27, 2025 - Mar 2, 2025 | 4:00 pm - 8:00 pm","COMMUNITY, FESTIVAL, MARKET SQUARE


Pittsburgh's official and largest winter wine festival! Enjoy two floors of wine, music, and food all INDOORS!"
3,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
4,"ARTS + CULTURE,, ENTERTAINMENT",Who's Afraid of Virginia Woolf?,https://downtownpittsburgh.com/events/event/?id=62408,"Mar 19, 2025 - Apr 6, 2025","ARTS + CULTURE, ENTERTAINMENT


It’s all fun and games until the one and only Edward Albee picks up his pen. His 1962 masterpiece WHO’S AFRAID OF VIRGINIA WOOLF? is a caustic cocktail of razor-sharp dialogue and electrifying performances that has kept audiences coming back for another round for decades."
4,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
