page_date,location,start_time,end_time,title,event_link,summary,image_url
20250320,"Connan Room, CUC, or Zoom",Noon,1 p.m.,Staff Council General Body Meeting,https://events.cmu.edu/event/12667-staff-council-general-body-meeting-copy,"Staff Council General Body Meetings, held on the third Thursday of each month, are open to all CMU staff members. Current Staff Council events and committee updates are shared.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,500,500/284_staff-council-logo-white-background_2.rev.1731333153.png"
20250320,"Sustainability Studio, First Floor, Hunt Library",3,6 p.m.,Fix-it Fair: Mending Workshop,https://events.cmu.edu/event/13644-fix-it-fair-mending-workshop,Do you have shirts missing buttons or pants that need hemmed? Don’t throw them out… bring them to the Fix-it Fair!,"https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,1080,1080/500_2025_CR2ZW_-_insta_square.rev.1740067990.jpg"
20250320,"Baker Hall, A53 Steinberg Auditorium",5,7 p.m.,Spaces of Treblinka: A Conversation With Author Dr. Jacob Flaws,https://events.cmu.edu/event/13647-spaces-of-treblinka-a-conversation-with-author-dr-jaco,"Historian and author Dr. Jacob Flaws will discuss his new book, “Spaces of Treblinka: Retracing a Death Camp.”","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/50,0,446,395/508_Jacob_Flaws.rev.1740159438.jpg"
20250320,Online,6:30 p.m.,,Fine and Rare V: New Acquisitions in Libraries Special Collections,https://events.cmu.edu/event/13661-fine-and-rare-v-new-acquisitions-in-libraries,"Join Curator of Special Collections Sam Lemley to learn about areas of collection strength, ongoing research and instructional programs in CMU’s Special Collections.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/113,0,713,600/518_FineRare_V_800x600.rev.1740598129.png"
20250320,"Alumni Concert Hall, College of Fine Arts @ 5000 F...",7:30,9:30 p.m.,CMU Chorus & Singers,https://events.time.ly/vdibqnd/43900784,,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,2160,1080/143_CMU_Chorus_and_Singers.rev.1726251396.jpg"
20250320,"Helen Wayne Rauh Studio Theater, Purnell Center fo...",8 p.m.,,CMU Drama Presents: The Inseparables,https://events.cmu.edu/event/12735-cmu-drama-presents-the-inseparables,Puppets. Pool noodles. Putting on a play!,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,630,912/300_The_Inseparables.rev.1731958523.jpg"
20250320,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250320,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
20250320,Hunt Library Gallery,,,"Like, Totally Transformative: CMU in the 1980s",https://events.cmu.edu/event/10974-like-totally-transformative-cmu-in-the-1980s,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,591,559/107_2024.8.26_LikeTotally_WebsiteArtboard_1.p_s_.rev.1725542721.jpg"
20250320,,,,Naw Rúz,https://events.cmu.edu/event/12502-naw-ruz,,
